submission_date,state,tot_cases,new_case,tot_death,created_at
2020-12-14T00:00:00.000,AZ,420549,11809.0,7358,2020-12-15T14:39:02.350
2020-04-27T00:00:00.000,AZ,6716,190.0,275,2020-05-25T15:38:40.000
2021-01-08T00:00:00.000,AZ,596627,11661.0,9938,2021-01-09T15:26:08.605
2020-12-04T00:00:00.000,AZ,352372,5683.0,6885,2020-12-05T14:29:17.537
2020-02-08T00:00:00.000,AZ,1,0.0,0,2020-03-26T16:22:39.452
2020-08-18T00:00:00.000,AZ,194990,916.0,4529,2020-08-19T14:23:51.835
2021-03-09T00:00:00.000,AZ,828425,563.0,16326,2021-03-10T14:58:31.195
2021-07-26T00:00:00.000,AZ,918609,1441.0,18171,2021-07-27T14:48:23.791
2020-05-15T00:00:00.000,AZ,13169,495.0,651,2020-05-16T15:46:44.000
2021-08-31T00:00:00.000,AZ,1011923,822.0,18786,2021-09-01T14:27:14.242
2020-04-18T00:00:00.000,AZ,4719,212.0,177,2020-04-18T16:22:39.452
2021-09-05T00:00:00.000,AZ,1030430,3071.0,18998,2021-09-06T14:27:21.791
2020-07-03T00:00:00.000,AZ,91882,4434.0,1788,2020-07-04T15:30:31.943
2021-08-22T00:00:00.000,AZ,986082,3307.0,18600,2021-08-23T14:39:48.247
2020-09-22T00:00:00.000,AZ,214951,596.0,5498,2020-09-23T13:51:22.296
2020-12-08T00:00:00.000,AZ,378440,12317.0,6973,2020-12-09T14:45:40.234
2020-07-25T00:00:00.000,AZ,160087,3741.0,3286,2020-07-26T15:17:16.725
2020-11-01T00:00:00.000,AZ,247645,1530.0,5981,2020-11-02T14:53:09.062
2021-07-12T00:00:00.000,AZ,901561,122.0,18035,2021-07-13T14:26:25.742
2021-09-15T00:00:00.000,AZ,1055919,2432.0,19333,2021-09-16T14:24:46.593
2020-10-24T00:00:00.000,AZ,236909,891.0,5869,2020-10-25T13:45:35.790
2021-02-02T00:00:00.000,AZ,765534,2941.0,13362,2021-02-03T14:55:58.025
2021-03-23T00:00:00.000,AZ,837869,507.0,16798,2021-03-24T14:16:52.349
2021-05-05T00:00:00.000,AZ,866022,742.0,17360,2021-05-06T14:14:04.113
2020-07-19T00:00:00.000,AZ,143664,2360.0,2761,2020-07-20T14:35:44.367
2021-01-13T00:00:00.000,AZ,642120,5632.0,10673,2021-01-14T15:12:46.601
2020-07-08T00:00:00.000,AZ,108643,3521.0,1963,2020-07-09T15:14:15.386
